Year,County,CO 2nd Max 1-hr,CO 2nd Max 8-hr,NO2 98th Percentile 1-hr,NO2 Mean 1-hr,Ozone 2nd Max 1-hr,Ozone 4th Max 8-hr,PM2.5 98th Percentile 24-hr,PM2.5 Weighted Mean 24-hr,PM10 2nd Max 24-hr,PM10 Mean 24-hr,Population,Sum of HOSP_LICBED_DAY_TOTL,Sum of ED_TRAFFIC_TOTL,Sum of EMS_NON_EMERG_VIS,Sum of EMS_REGISTERS_NO_TREAT
2014,Santa Clara,2.4,1.9,55,13,0.09,0.073,28,9.3,52,19,1891753,1376881,515153,52882,5762
2014,Solano,2.4,2,43,8,0.08,0.066,28,10,25,11,429006,271913,196091,33078,3499
2014,Sonoma,1.3,0.9,31,4,0.07,0.062,17,7.7,40,13,498560,355488,159754,88,3960
2015,Butte,1.5,1.2,33,7,0.08,0.075,30,9.1,67,21,224631,216080,129556,183,5507
2015,Contra Costa,2,1,37,9,0.09,0.074,30,8.9,35,18,1124405,663932,407244,21785,6982
2015,Fresno,2.3,1.7,43,11,0.12,0.093,57,16,103,39,969488,1282604,390044,0,11007
2015,Imperial,4.9,3.9,60,11,0.1,0.077,37,13.1,225,47,178937,97820,98488,46212,351
2015,Kern,1.6,1,50,12,0.12,0.097,57,17.9,97,44,876031,697597,363557,142,15236
2015,Los Angeles,4.3,3,66,22,0.13,0.1,42,12.6,95,37,10085416,10199218,3608278,102770,112769
2015,Marin,1.4,0.9,40,11,0.08,0.063,31,8.6,29,15,260916,167170,80108,0,193
2015,Monterey,1.5,0.9,28,5,0.08,0.062,13,6.3,68,24,430552,293220,170444,15001,4979
2015,Napa,2.3,1.5,33,8,0.08,0.066,30,10.6,45,18,140862,650126,38539,9,1163
2015,Orange,2.9,2.3,61,25,0.1,0.075,15,7.1,64,26,3149280,2902936,942061,54450,24286
2015,Riverside,2.2,1.5,52,14,0.12,0.097,43,13.5,299,65,2345816,1439925,852607,11017,21388
2015,Sacramento,2.1,1.9,46,11,0.1,0.081,38,10.4,55,22,1493674,1273993,635835,34419,13484
2015,San Bernardino,15.5,4.4,73,30,0.14,0.107,40,14.5,121,33,2115411,2156434,876702,67634,29243
2015,San Diego,3.1,1.9,53,14,0.1,0.079,20,9.3,99,35,3280850,2891399,1036382,29243,29614
2015,San Francisco,1.6,1.2,53,12,0.06,0.05,27,7.6,38,18,863010,1645225,212516,2489,5645
2015,San Joaquin,2,1.4,48,12,0.1,0.077,43,12.6,74,28,722271,461320,296424,3670,11982
2015,Santa Barbara,2.4,0.8,38,8,0.08,0.067,19,8.3,59,22,442229,400670,177014,7488,3790
2015,Santa Clara,2.6,1.8,47,18,0.09,0.072,32,10.6,47,21,1916285,1367445,551257,56206,5095
2015,Solano,2.2,1.8,38,8,0.08,0.068,31,9.5,30,12,433409,273385,210657,38108,2563
2015,Sonoma,1.3,0.9,29,5,0.07,0.059,23,6.8,55,16,500863,710290,173104,48,2260
2015,Stanislaus,2.7,1.5,36,9,0.1,0.085,47,14.2,75,32,533211,559910,309924,13078,8376
2015,Sutter,0.8,0.5,39,7,0.08,0.072,31,9.6,66,22,95282,36548,0,0,0
2016,Butte,1.7,1.3,29,6,0.09,0.077,21,7.7,56,20,226231,216672,134528,99,5455
2016,Contra Costa,1.7,0.9,34,8,0.09,0.069,16,8.1,29,14,1137268,729438,416707,1588,5828
2016,Fresno,2,1.7,48,21,0.12,0.093,48,13.6,90,38,976830,1307352,390734,1420,16138
2016,Humboldt,1.2,0.9,20,3,0.05,0.049,16,6.1,42,15,136290,109434,70241,284,4608
2016,Imperial,4.7,3.1,60,11,0.1,0.074,34,12.5,465,59,180179,98088,87172,46128,289
2016,Kern,1.8,0.9,50,12,0.11,0.088,55,16,98,47,880856,680077,366561,66,13097
2016,Los Angeles,4.3,3.6,77,24,0.14,0.1,39,14.7,127,34,10105708,10188257,3697916,64849,87990
2016,Madera,4.6,1.4,27,6,0.1,0.084,36,12,100,30,153956,169214,157934,0,4089
2016,Marin,1.3,0.9,36,9,0.07,0.056,14,6.4,21,13,260562,167628,79562,0,184
2016,Monterey,2.7,0.9,24,4,0.08,0.058,57,6.8,70,25,433953,288840,182862,16566,3696
2016,Orange,3.3,2.1,60,23,0.1,0.079,28,12.9,64,27,3164986,2920873,957784,29942,16089
2016,Riverside,2.9,1.4,52,15,0.12,0.097,36,14.1,449,58,2380081,1433856,865703,7477,20681
2016,Sacramento,2.3,1.7,43,13,0.11,0.088,28,8.7,46,18,1510987,1236414,659626,17951,7561
2016,San Bernardino,6.5,1.6,74,31,0.16,0.116,36,16.2,219,39,2131960,2161596,908244,37258,29930
2016,San Diego,2.1,1.5,53,17,0.1,0.084,18,8.7,66,31,3306089,2819251,1044190,605,24732
2016,San Francisco,1.6,1,51,11,0.07,0.046,17,7.5,27,16,871512,1725870,300261,68769,11875
2016,San Joaquin,1.7,1.2,45,12,0.11,0.08,33,13.6,66,25,732809,449814,310281,3579,11763
2016,Santa Barbara,10.9,5.7,37,8,0.08,0.064,16,7,266,24,444340,385764,183547,6935,3534
2016,Santa Clara,2.4,1.6,46,16,0.09,0.068,19,9.1,35,17,1928368,1399911,539496,48862,5584
2016,Solano,2.1,1.8,36,7,0.09,0.067,19,8.5,23,11,438858,274134,215228,25814,3332
2016,Sonoma,1.3,1,25,4,0.07,0.055,13,4.6,42,13,502547,698671,177401,115,2928
2016,Stanislaus,1.8,1.4,42,9,0.1,0.085,39,12.6,57,29,539255,565094,326996,4179,8101
2017,Butte,1.7,1.4,30,6,0.09,0.077,33,9,85,22,228696,216080,135753,258,6892
2017,Contra Costa,2.3,1.5,39,8,0.1,0.069,43,12,59,19,1145535,658460,421096,1370,6589
